PrimaryPropertyType,Neighborhood,LargestPropertyUseType,ComplianceStatus,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseTypeGFA,ENERGYSTARScore,SourceEUIWN(kBtu/sf),SiteEnergyUseWN(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,BuildingAge
medicaloffice,SOUTHWEST,Medical Office,Compliant,1.0,3,40304,12000,28304,20106.0,5.0,306.2999878,1961581.5,13.67,0.34,32
distributioncenter,GREATER DUWAMISH,Distribution Center,Compliant,1.0,1,29619,0,29619,15000.0,50.0,93.09999847,1524858.875,42.45,1.43,26
ktwelveschool,CENTRAL,K-12 School,Compliant,1.0,2,21592,0,21592,20700.0,47.0,134.1000061,1651553.75,54.24,2.51,94
ktwelveschool,NORTH,K-12 School,Compliant,1.0,2,23923,0,23923,23923.0,69.0,83.5,880687.3125,19.51,0.82,85
smallandmidsizedoffice,CENTRAL,Office,Compliant,1.0,3,25200,0,25200,16000.0,47.0,182.6000061,1808592.0,37.08,1.47,109
smallandmidsizedoffice,CENTRAL,Office,Non-Compliant,1.0,1,45068,0,45068,45068.0,100.0,13.80000019,309214.0,8.59,0.19,69
smallandmidsizedoffice,CENTRAL,Office,Compliant,1.0,2,28296,0,28296,26899.0,80.0,151.8999939,1301418.875,9.26,0.33,53
smallandmidsizedoffice,CENTRAL,Office,Compliant,1.0,3,31357,0,31357,25500.0,55.0,199.8000031,2085718.125,22.48,0.72,17
distributioncenter,GREATER DUWAMISH,Distribution Center,Compliant,1.0,1,160000,0,160000,160000.0,94.0,22.70000076,1157976.5,8.07,0.05,48
warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,53550,0,53550,53550.0,11.0,159.1000061,5129831.0,174.62,3.26,56
warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,38412,0,38412,32000.0,62.0,72.30000305,1914443.25,67.05,1.75,92
selfstoragefacility,GREATER DUWAMISH,Self-Storage Facility,Compliant,1.0,1,25881,0,25881,25881.0,,73.80000305,607988.1875,3.8,0.15,86
smallandmidsizedoffice,GREATER DUWAMISH,Office,Compliant,1.0,1,24291,0,24291,24023.0,98.0,61.5,751206.5,19.61,0.81,63
warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,36544,0,36544,36544.0,5.0,115.0,1338475.5,8.85,0.24,50
warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,20796,0,20796,20796.0,,121.3000031,1573106.75,51.1,2.46,67
distributioncenter,GREATER DUWAMISH,Distribution Center,Compliant,1.0,1,21349,0,21349,13000.0,70.0,73.30000305,713915.5,17.04,0.8,69
warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,38630,0,38630,38500.0,33.0,34.0,416885.5938,2.91,0.08,80
